id,create_time,name,message,type,link,comments,reactions,shares
1556276644616898_1723071084604119,2017-01-26 02:00:02,Timeline Photos,"餅乾來拜早年～

🐔新年快樂＆每天送好禮！讓你事事如意！

🐔 禮物一覽
- 1月 26日: 寵物寶箱鑰匙1把
- 1月 27日: 餅乾寶箱鑰匙1把
- 1月 28日: 冰鑽寶箱鑰匙1把 + 100,000錢幣
- 1月 29日: 水晶700顆
- 1月 30日: 草莓鮮奶油寶箱鑰匙1把
- 1月 31日: 水晶500顆

🐔 新的一年讓我們繼續往前跑！Run！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1723071084604119/?type=3,69,473,6.0
1556276644616898_1724536784457549,2017-01-24 12:30:01,Timeline Photos,"【比賽獎勵＆配對系統調整公告】

快下載跑跑薑餅人最新版本，
送你餅乾寶箱鑰匙🔑🔑🔑 寵物鑰匙各3把🔑🔑🔑！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1724536784457549/?type=3,60,364,2.0
1556276644616898_1723056741272220,2017-01-20 11:24:44,Timeline Photos,"🔥 🔥寒冷的冬天～就是要火力全開！🔥🔥

火力全開時間：20日23:00起至22日22:59止！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1723056741272220/?type=3,60,418,4.0
1556276644616898_1691610907750137,2017-01-20 02:35:18,Timeline Photos,"🌟跑跑粉絲的可愛創作

今天就來陶醉於夾心音箱的療癒音樂中吧～♫♪

by loderihua",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1691610907750137/?type=3,20,354,
1556276644616898_1720994528145108,2017-01-16 07:36:41,Timeline Photos,"🏆😎 準備好前往冠軍聯賽了嗎？ 
下載最新版本，送你冰鑽寶箱鑰匙！

跑跑傳送門 : https://goo.gl/xuxcFc",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1720994528145108/?type=3,71,382,3.0
1556276644616898_1719842811593613,2017-01-13 10:32:59,Timeline Photos,"🔥帶來暖呼呼的預告🔥
冠軍聯賽coming soon！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1719842811593613/?type=3,49,437,1.0
1556276644616898_1718156055095622,2017-01-09 05:00:00,Timeline Photos,試試在體力微弱時，前往Bonus Time吧！😎✨,photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1718156055095622/?type=3,72,439,
1556276644616898_1716570581920836,2017-01-05 03:57:24,Timeline Photos,"2017年新開始😉
✨ 跑跑玩家突破7️00萬人！
今年也請一起快樂跑跑跳跳！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1716570581920836/?type=3,137,901,5.0
1556276644616898_1710276215883606,2016-12-31 16:01:43,Timeline Photos,"2017☀新年快樂🎉

新的一年～請繼續支持跑跑薑餅人
我們會更加努力！提供更好的服務！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1710276215883606/?type=3,99,747,7.0
1556276644616898_1710276175883610,2016-12-29 06:00:01,Timeline Photos,"一起度過溫暖的年末🌟
感謝您的支持，跑跑薑餅人在寒冷的冬季帶來滿滿溫暖🔥

我們將盡最大努力，提供更歡樂的跑跑薑餅人💪
遊戲裡見囉，不見不散！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1710276175883610/?type=3,91,561,4.0
